cohort,organ,platform,n_samples,n_patients,splits,leakage_verdict,sd_loglib_range,sparsity_zero_frac,null_official_meanr,null_cp10k_panel_meanr,null_cp10k_full_meanr,cp10k_rel_reduction_pct,leaderboard_best_model,leaderboard_best_r,n_models,n_models_beaten_by_null,null_as_pct_of_best,ceiling_rtech_med,rnbr_med,h2_sim_ge_real,h3_ordering_verdict,sources
HER2ST,breast,ST(legacy),36 sections,8,patient-LOO 8-fold (ours),no leak (our protocol),0.389-1.428,NA(not recollected),NA(non-HEST; cp10k737 med_r=0.230),0.230 (med; 737HVG cp10k discovery caliber),NA,NA,image ridge 2048-d (internal ref),0.113 (med),1,36/36 slices,204%,0.51 (0.36-0.65; cp10k737),not aggregated (most slices beaten),34/36,discovery cohort (corr=0.964; in-sample; not prereg),pilot\null_pergene_r.csv;HANDOFF.md
LYMPH_IDC,lymph node,Visium,4,4,official LOO=patient-level,no leak,1.169-2.265 (all_spots),0.8375,0.3263,0.3128,0.2013,4%,GenBio-PathFM,0.2842,26,26/26,115%,0.539 (official cal; 737/cp10k 0.522),0.4244 (official mean-r),28/32,REPLICATES 4/4 prereg cells,lymph_AUDIT.md;lymph_audit_libnull.csv
IDC,breast,Xenium (pseudo-Visium binned),4,4,official LOO=patient-level,no split leak; var50 panel-selection leak inherited (49/50 pooled repro),0.828-1.377 (bench) / 1.066-3.907 (all),0.6223,0.4284,0.1501,0.1504,65%,H-Optimus-1,0.6024,26,0/26,71%,~0.95 (0.919-0.979),0.661-0.782 (bench log1p),32/32,PARTIAL 6/8 cells,hb_idc_audit_libnull.csv;hb_idc_prereg.md
READ,rectum,Visium,4,2 (2 replicates/patient),official 2-fold patient-level,no leak,0.550-0.878,0.8892,0.2451,0.1859,0.0687,24%,H-Optimus-1,0.2421,26,26/26,101%,~0.70 (0.630-0.779),0.355-0.547,15/16,REPLICATES 4/4 cells + 4/4 point-in-band,hb_read_libnull_official.csv;hb_read_prereg.json
PAAD,pancreas,Xenium,3,3,official LOO=patient-level,no leak,2.101-4.106,0.5638,0.5250,0.5192,0.4313,1%,Virchow,0.5159,26,26/26,102%,~0.93 (0.912-0.942),0.62-0.83,12/12,REPLICATES 4/4 cells (but P3 raw>cp10k FALSIFIED),hb_paad_audit_libnull.csv;hb_paad_prereg.md
SKCM,skin,Xenium,2,2,official LOO=patient-level,no leak,1.642/3.566 (official set),0.7251,0.4400,0.2798,0.1539,36%,GenBio-PathFM,0.6715,26,0/26,66%,~0.975 (0.968/0.982),0.769/0.760,16/16,REPLICATES 8/8 cells,hb_skcm_libnull.csv;hb_skcm_prereg.md
LUNG,lung,Xenium,2,2,official LOO=patient-level,no leak,2.402-2.464,0.4889,0.6942,0.5906,0.4750,15%,GenBio-PathFM,0.5787,26,26/26,120%,~0.96 (0.954/0.964),0.830/0.821,8/8,PARTIAL (order 4/4 but n=2; saturation point-prediction falsified),hb_lung_libnull.csv;hb_lung_prereg.md
HCC,liver,Visium,2,2,official LOO=patient-level,no leak,0.627-0.683,0.8554,0.1484,0.1056,0.0862,29%,STFlow (paper Table 1; no README column),0.124,9,9/9,120%,~0.65 (0.629/0.679),0.317/0.381,16/16,PARTIAL 4/6 cells (one cp10k reversal beyond band),hb_hcc_audit_libnull.csv;hb_hcc_prereg.txt
COAD,colon,Xenium,4,"2 groups (1 preview donor unverifiable + 3 CRC patients mislabeled as one in HEST meta)",official 2-fold,no provable leak (conservative under both mappings); meta mislabel documented,0.610-0.964 (official) / 1.576-1.697 (all),0.3967,0.3218,0.1076,0.0141,67%,GenBio-PathFM,0.3284,26,25/26 (rank 2; gap 0.0066),98%,~0.85 (0.75-0.95),0.39-0.79,32/32,PARTIAL 5/8 cells (official spot set falsified),hb_coad_libnull_official.csv;hb_coad_prereg.json
PRAD,prostate,Visium,23,2,official 2-fold patient-level,no leak,0.466-3.407,0.9406,0.5401,0.4401,0.3465,19%,GenBio-PathFM,0.3913,26,26/26 (also 26/26 under cp10k_panel),138%,0.687 med (0.41-0.94),0.452 med (0.18-0.84),66/92,REPLICATES (Spearman 0.79 >= prereg 0.5),hb_prad_libnull_official.csv;hb_prad_prereg.json
CCRCC,kidney,Visium,24,24,official 6-fold x4 = patient-level,no leak; var50 pooled-selection leak reproduced 50/50; FFPE/frozen batch mix disclosed,0.382-1.394 (23/24 inside HER2ST fit domain),0.8223,0.4945,0.3437,0.1996,30%,Virchow2,0.2719,26,26/26,182%,0.569 med (0.37-0.91; cp10k_panel 0.459; stnull-crosschecked max diff 0.02),0.343 med (0.16-0.75; cp10k_panel 0.207),85/96,REPLICATES (Spearman 0.799 >= prereg 0.5; prereg band [0.18-0.42] exceeded on conservative side),hb_ccrcc_audit_libnull_foldconcat.csv;hb_ccrcc_prereg.md;independently recomputed this session;H4/H5 backfilled 2026-08-24 (hb_ccrcc_audit_ceiling.csv;hb_ccrcc_audit_rnbr.csv)
